Name,SunNeeds,LifeCycle,EaseOfCare,Height,Spread
Aconite -  European Winter,part shade,perennial,easy,0.25 to 0.5 feet,0.1 to 0.25 feet
African Daisy,full sun,annual,easy,0.8 to 1.5 feet,0.5 to 1 feet
Ageratum,full sun | part shade,annual,easy,0.5 to 2 feet,0.5 to 1 feet
Allium -  Blue Globe,full sun,perennial,easy,1.5 to 2 feet,0.5 to 1 feet
Allium -  Giant,full sun,perennial,easy,5 to 6 feet,1.5 to 2 feet
Allium -  'Globemaster',full sun,perennial,easy,2.5 to 3.5 feet,1 to 1.5 feet
Allium -  Purple,full sun,perennial,easy,2.5 to 3 feet,0.5 to 1 feet
Allium -  Star of Persia,full sun,perennial,easy,1 to 2 feet,0.5 to 1 feet
Alpine Rosy Bells,full sun,perennial,easy,0.25 to 0.75 feet,0.1 to 0.25 feet
Anemone -  Japanese,full sun | part shade,perennial,moderately difficult,2.5 to 5 feet,2 to 4 feet
Angelica,part shade | full shade,biennial|  perennial,easy,3 to 6 feet,2 to 4 feet
Angelonia,full sun,annual,easy,2 to 3 feet,0.75 to 1 feet
Artemisia 'Powis Castle',full sun,perennial,moderately difficult,2 to 3 feet,3 to 4 feet
Aster -  alpine,full sun,perennial,easy,0.25 to 1 feet,1 to 1.5 feet
Aster -  Frikart's,full sun | part shade,perennial,easy,2 to 3 feet,1 to 3 feet
Aster -  New England,full sun | part shade,perennial,easy,3 to 6 feet,2 to 4 feet
Aster -  New York (tall varieties),full sun | part shade,perennial,easy,2.5 to 4 feet,1 to 1.5 feet
Astilbe -  Chinese,full sun | part shade,perennial,easy,1 to 6 feet,1 to 2 feet
Astilbe -  hybrid,full sun | part shade,perennial,moderately difficult,1.5 to 4.5 feet,1 to 2 feet
Aubrieta,full sun,perennial,easy,0.5 to 0.75 feet,1 to 2 feet
Autumn Snakeroot,part shade,perennial,easy,2 to 4 feet,2 to 3 feet
Balloon Flower,full sun | part shade,perennial,easy,2.5 to 3.5 feet,0.5 to 1 feet
Balsam,part shade | full shade,annual,easy,1 to 2.5 feet,1 to 1.5 feet
Baneberry -  Red,part shade | full shade,perennial,easy,1.5 to 3.5 feet,1 to 2.5 feet
Baneberry -  White,part shade | full shade,perennial,easy,1.5 to 3.5 feet,1 to 2 feet
Basket of Gold,full sun,perennial,moderately difficult,0.5 to 0.75 feet,1 to 1.5 feet
Bee balm,full sun | part shade,perennial,easy,2 to 4 feet,1.5 to 3 feet
Begonia,full sun | part shade | full shade,annual,easy,0.5 to 1.5 feet,0.5 to 1 feet
Bellflower -  Clustered,full sun | part shade,perennial,easy,0.5 to 2 feet,1 to 3 feet
Bellflower -  Great,full sun | part shade,perennial,moderately difficult,2 to 4 feet,1 to 2 feet
Bellflower -  Peach-leaved,full sun | part shade,perennial,moderately difficult,2 to 3 feet,1 to 2 feet
Bellflower -  Serbian,full sun | part shade,perennial,easy,0.25 to 0.75 feet,1 to 3 feet
Bergenia,full sun | part shade,perennial,easy,1 to 2 feet,1 to 1.5 feet
Black Cohosh,part shade,perennial,easy,5 to 8 feet,2 to 4 feet
Blackberry Lily,full sun | part shade,perennial,easy,2 to 4 feet,0.5 to 1.5 feet
Bleeding Heart,part shade,perennial,easy,1.5 to 4 feet,1 to 2 feet
